BIRIM;TARIH;SAAT;CIRO;  altin ;euro;dolar;temperature;special days
B;1.14.2011;15;727.89;69265,13;20743;15503;8;0
B;1.14.2011;16;1171.9;69265,13;20743;15503;8;0
B;1.14.2011;17;719.02;69265,13;20743;15503;8;0
B;1.14.2011;18;1102.26;69265,13;20743;15503;8;0
B;1.14.2011;19;879.26;69265,13;20743;15503;8;0
B;1.14.2011;20;1494.33;69265,13;20743;15503;8;0
B;1.14.2011;21;1056.14;69265,13;20743;15503;8;0
B;1.15.2011;10;104.73;69265,13;20743;15503;8;0
B;1.15.2011;11;517.86;69265,13;20743;15503;8;0
B;1.15.2011;12;1257.49;69265,13;20743;15503;8;0
B;1.15.2011;13;2260.17;69265,13;20743;15503;8;0
B;1.15.2011;14;2292.53;69265,13;20743;15503;8;0
B;1.15.2011;15;1484.56;69265,13;20743;15503;8;0
B;1.15.2011;16;3711.06;69265,13;20743;15503;8;0
B;1.15.2011;17;3792.15;69265,13;20743;15503;8;0
B;1.15.2011;18;2805.9;69265,13;20743;15503;8;0
B;1.15.2011;19;2115.06;69265,13;20743;15503;8;0
B;1.15.2011;20;2166.16;69265,13;20743;15503;8;0
B;1.15.2011;21;2439.59;69265,13;20743;15503;8;0
B;1.16.2011;10;148.45;69265,13;20743;15503;9;0
B;1.16.2011;11;214.59;69265,13;20743;15503;9;0
B;1.16.2011;12;1442.06;69265,13;20743;15503;9;0
B;1.16.2011;13;2445.13;69265,13;20743;15503;9;0
B;1.16.2011;14;3480.88;69265,13;20743;15503;9;0
B;1.16.2011;15;3912.94;69265,13;20743;15503;9;0
B;1.16.2011;16;3103.25;69265,13;20743;15503;9;0
B;1.16.2011;17;3294.92;69265,13;20743;15503;9;0
B;1.16.2011;18;3984.7;69265,13;20743;15503;9;0
B;1.16.2011;19;3662.31;69265,13;20743;15503;9;0
B;1.16.2011;20;2109.94;69265,13;20743;15503;9;0
B;1.16.2011;21;906.24;69265,13;20743;15503;9;0
B;1.17.2011;10;77.12;68337,72;20600;15500;7;0
B;1.17.2011;11;284.95;68337,72;20600;15500;7;0
